Thread, LogRounds, Check-Tput, Check-Latency
client-thread-19,4,265.56018,3
client-thread-19,5,151.83867,6
client-thread-19,6,73.10108,13
client-thread-19,7,34.399357,29
client-thread-19,8,18.43849,54
client-thread-19,9,9.403467,106
client-thread-19,10,4.829824,207
client-thread-19,11,2.410319,414
client-thread-19,12,1.1847683,844
client-thread-19,13,0.611843,1634
client-thread-19,14,0.30442268,3284
client-thread-19,15,0.14642829,6829
client-thread-19,16,0.06653184,15030
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-14,4,279.47598,3
client-thread-14,5,138.67822,7
client-thread-14,6,62.837505,15
client-thread-14,7,36.56098,27
client-thread-14,8,17.745737,56
client-thread-14,9,9.487806,105
client-thread-14,10,5.026112,198
client-thread-14,11,2.4151855,414
client-thread-14,12,1.1673187,856
client-thread-14,13,0.59427637,1682
client-thread-14,14,0.31052586,3220
client-thread-14,15,0.14635831,6832
client-thread-14,16,0.064165995,15584
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-16,4,263.9175,3
client-thread-16,5,141.59293,7
client-thread-16,6,62.837505,15
client-thread-16,7,36.93018,27
client-thread-16,8,22.824537,43
client-thread-16,9,11.376766,87
client-thread-16,10,4.7581873,210
client-thread-16,11,2.373271,421
client-thread-16,12,1.212592,824
client-thread-16,13,0.5917269,1689
client-thread-16,14,0.2971651,3365
client-thread-16,15,0.14910959,6706
client-thread-16,16,0.066437006,15051
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-1,4,259.1093,3
client-thread-1,5,140.19716,7
client-thread-1,6,80.10013,12
client-thread-1,7,37.680305,26
client-thread-1,8,18.396091,54
client-thread-1,9,9.101252,109
client-thread-1,10,4.869327,205
client-thread-1,11,2.420941,413
client-thread-1,12,1.2115476,825
client-thread-1,13,0.5372282,1861
client-thread-1,14,0.25642258,3899
client-thread-1,15,0.14411315,6938
client-thread-1,16,0.06758273,14796
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-6,4,296.2963,3
client-thread-6,5,141.43646,7
client-thread-6,6,77.294685,12
client-thread-6,7,35.67447,28
client-thread-6,8,18.898567,52
client-thread-6,9,7.9173627,126
client-thread-6,10,4.836942,206
client-thread-6,11,2.3106778,432
client-thread-6,12,1.0878619,919
client-thread-6,13,0.6325986,1580
client-thread-6,14,0.2971589,3365
client-thread-6,15,0.14799073,6757
client-thread-6,16,0.06560661,15242
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-4,4,299.7658,3
client-thread-4,5,123.7911,8
