Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-19,4,719.10114,1
client-thread-19,5,194.82497,5
client-thread-19,6,120.527306,8
client-thread-19,7,60.462917,16
client-thread-19,8,31.817053,31
client-thread-19,9,15.604048,64
client-thread-19,10,8.190428,122
client-thread-19,11,3.5166767,284
client-thread-19,12,1.9494959,512
client-thread-19,13,1.0038271,996
client-thread-19,14,0.41539156,2407
client-thread-19,15,0.24516094,4078
client-thread-19,16,0.11358796,8803
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-14,4,727.2727,1
client-thread-14,5,221.07082,4
client-thread-14,6,133.33333,7
client-thread-14,7,62.105774,16
client-thread-14,8,31.809145,31
client-thread-14,9,15.657493,63
client-thread-14,10,7.2946944,137
client-thread-14,11,4.0420628,247
client-thread-14,12,1.7703766,564
client-thread-14,13,0.9968459,1003
client-thread-14,14,0.4817282,2075
client-thread-14,15,0.21442044,4663
client-thread-14,16,0.112800375,8865
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-16,4,393.84616,2
client-thread-16,5,196.01837,5
client-thread-16,6,114.59266,8
client-thread-16,7,52.416054,19
client-thread-16,8,27.044159,36
client-thread-16,9,15.560418,64
client-thread-16,10,6.264683,159
client-thread-16,11,4.132632,241
client-thread-16,12,2.0006564,499
client-thread-16,13,0.8842405,1130
client-thread-16,14,0.47518283,2104
client-thread-16,15,0.25588384,3908
client-thread-16,16,0.09657032,10355
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-1,4,325.69974,3
client-thread-1,5,174.14966,5
client-thread-1,6,80.0,12
client-thread-1,7,44.61485,22
client-thread-1,8,22.586906,44
client-thread-1,9,11.766869,84
client-thread-1,10,6.1802907,161
client-thread-1,11,3.475805,287
client-thread-1,12,1.7504752,571
client-thread-1,13,0.8826917,1132
client-thread-1,14,0.42292938,2364
client-thread-1,15,0.2128622,4697
client-thread-1,16,0.09704388,10304
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-6,4,470.58823,2
client-thread-6,5,220.68965,4
client-thread-6,6,120.07505,8
client-thread-6,7,54.37553,18
client-thread-6,8,31.173891,32
client-thread-6,9,15.035828,66
client-thread-6,10,6.996447,142
client-thread-6,11,3.5781176,279
client-thread-6,12,1.8035536,554
client-thread-6,13,0.70021117,1428
client-thread-6,14,0.4194301,2384
client-thread-6,15,0.17679437,5656
client-thread-6,16,0.09695001,10314
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-4,4,627.451,1
client-thread-4,5,229.39069,4
client-thread-4,6,104.83211,9
client-thread-4,7,60.63477,16
client-thread-4,8,29.418524,33
client-thread-4,9,13.434089,74
client-thread-4,10,5.5020633,181
client-thread-4,11,3.0536537,327
client-thread-4,12,1.4036627,712
client-thread-4,13,0.76634777,1304
client-thread-4,14,0.41804245,2392
client-thread-4,15,0.2199256,4546
client-thread-4,16,0.09980359,10019
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-11,4,352.61707,2
client-thread-11,5,177.04012,5
client-thread-11,6,93.023254,10
client-thread-11,7,45.47069,21
client-thread-11,8,26.761446,37
client-thread-11,9,13.446791,74
client-thread-11,10,6.3952036,156
client-thread-11,11,3.640604,274
client-thread-11,12,1.7799038,561
client-thread-11,13,0.885568,1129
client-thread-11,14,0.43923464,2276
client-thread-11,15,0.22193633,4505
client-thread-11,16,0.0775276,12898
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-9,4,612.4402,1
client-thread-9,5,161.82048,6
client-thread-9,6,106.22407,9
client-thread-9,7,51.94805,19
client-thread-9,8,27.170452,36
client-thread-9,9,13.045251,76
client-thread-9,10,6.390095,156
client-thread-9,11,2.7911034,358
client-thread-9,12,1.7334074,576
client-thread-9,13,0.69085,1447
client-thread-9,14,0.36492917,2740
client-thread-9,15,0.1684348,5937
client-thread-9,16,0.08328687,12006
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-13,4,656.4103,1
client-thread-13,5,214.7651,4
client-thread-13,6,107.20268,9
client-thread-13,7,45.99353,21
client-thread-13,8,23.708094,42
client-thread-13,9,11.48394,87
client-thread-13,10,5.7270694,174
client-thread-13,11,2.7225354,367
client-thread-13,12,1.537556,650
client-thread-13,13,0.8837094,1131
client-thread-13,14,0.3675552,2720
client-thread-13,15,0.18849698,5305
client-thread-13,16,0.083794095,11934
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-2,4,231.46474,4
client-thread-2,5,135.30655,7
client-thread-2,6,82.63396,12
client-thread-2,7,40.51915,24
client-thread-2,8,23.464712,42
client-thread-2,9,11.74743,85
client-thread-2,10,6.296424,158
client-thread-2,11,3.1411815,318
client-thread-2,12,1.510574,662
client-thread-2,13,0.7483017,1336
client-thread-2,14,0.3320234,3011
client-thread-2,15,0.19072765,5243
client-thread-2,16,0.09185696,10886
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-8,4,864.86487,1
client-thread-8,5,191.90405,5
client-thread-8,6,88.45888,11
client-thread-8,7,51.077415,19
client-thread-8,8,25.630756,39
client-thread-8,9,13.443966,74
client-thread-8,10,5.5717583,179
client-thread-8,11,3.5491474,281
client-thread-8,12,1.4157883,706
client-thread-8,13,0.86153513,1160
client-thread-8,14,0.34964654,2860
client-thread-8,15,0.21675737,4613
client-thread-8,16,0.07326385,13649
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-12,4,271.7622,3
client-thread-12,5,136.31523,7
client-thread-12,6,73.86036,13
client-thread-12,7,36.47763,27
client-thread-12,8,21.035334,47
client-thread-12,9,10.24,97
client-thread-12,10,5.6073947,178
client-thread-12,11,2.3919868,418
client-thread-12,12,1.3548845,738
client-thread-12,13,0.6027699,1659
client-thread-12,14,0.32602578,3067
client-thread-12,15,0.14427997,6930
client-thread-12,16,0.07470753,13385
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-15,4,249.51266,4
client-thread-15,5,172.97298,5
client-thread-15,6,99.30178,10
client-thread-15,7,46.886448,21
client-thread-15,8,23.668638,42
client-thread-15,9,11.66287,85
client-thread-15,10,5.1979694,192
client-thread-15,11,2.7944548,357
client-thread-15,12,1.3197101,757
client-thread-15,13,0.69927394,1430
client-thread-15,14,0.32510993,3075
client-thread-15,15,0.17389886,5750
client-thread-15,16,0.07568116,13213
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-17,4,323.23233,3
client-thread-17,5,150.23474,6
client-thread-17,6,93.15866,10
client-thread-17,7,40.96,24
client-thread-17,8,20.894548,47
client-thread-17,9,10.448979,95
client-thread-17,10,4.557106,219
client-thread-17,11,2.7573729,362
client-thread-17,12,1.2135347,824
client-thread-17,13,0.6790775,1472
client-thread-17,14,0.2907637,3439
client-thread-17,15,0.1657432,6033
client-thread-17,16,0.064035766,15616
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-10,4,248.06201,4
client-thread-10,5,156.86275,6
client-thread-10,6,72.72727,13
client-thread-10,7,40.0626,24
client-thread-10,8,20.173365,49
client-thread-10,9,10.492663,95
client-thread-10,10,5.743774,174
client-thread-10,11,2.702874,369
client-thread-10,12,1.4242953,702
client-thread-10,13,0.6642312,1505
client-thread-10,14,0.34720904,2880
client-thread-10,15,0.1638356,6103
client-thread-10,16,0.076940835,12997
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-5,4,210.87315,4
client-thread-5,5,156.86275,6
client-thread-5,6,86.13728,11
client-thread-5,7,41.653107,24
client-thread-5,8,21.031876,47
client-thread-5,9,8.551005,116
client-thread-5,10,5.049907,198
client-thread-5,11,2.1564796,463
client-thread-5,12,1.215563,822
client-thread-5,13,0.5456654,1832
client-thread-5,14,0.29520702,3387
client-thread-5,15,0.13018066,7681
client-thread-5,16,0.066399306,15060
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-3,4,205.1282,4
client-thread-3,5,126.60732,7
client-thread-3,6,82.74079,12
client-thread-3,7,33.817703,29
client-thread-3,8,18.929312,52
client-thread-3,9,11.380813,87
client-thread-3,10,4.766338,209
client-thread-3,11,2.502248,399
client-thread-3,12,1.1827321,845
client-thread-3,13,0.6239185,1602
client-thread-3,14,0.29852766,3349
client-thread-3,15,0.15469064,6464
client-thread-3,16,0.06687652,14952
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-7,4,193.35347,5
client-thread-7,5,150.23474,6
client-thread-7,6,66.390045,15
client-thread-7,7,36.281178,27
client-thread-7,8,18.249216,54
client-thread-7,9,9.397944,106
client-thread-7,10,4.2253985,236
client-thread-7,11,2.4594102,406
client-thread-7,12,1.1012553,908
client-thread-7,13,0.60763144,1645
client-thread-7,14,0.26360664,3793
client-thread-7,15,0.14833201,6741
client-thread-7,16,0.057348594,17437
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-20,4,328.20514,3
client-thread-20,5,150.58824,6
client-thread-20,6,82.68734,12
client-thread-20,7,37.047756,26
client-thread-20,8,18.826298,53
client-thread-20,9,9.466055,105
client-thread-20,10,5.219164,191
client-thread-20,11,2.4180598,413
client-thread-20,12,1.2690356,788
client-thread-20,13,0.5959836,1677
client-thread-20,14,0.31182778,3206
client-thread-20,15,0.14638476,6831
client-thread-20,16,0.06916179,14458
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-18,4,193.06184,5
client-thread-18,5,140.19716,7
client-thread-18,6,77.154915,12
client-thread-18,7,36.813343,27
client-thread-18,8,18.890202,52
client-thread-18,9,7.834017,127
client-thread-18,10,4.204165,237
client-thread-18,11,2.070829,482
client-thread-18,12,1.0388093,962
client-thread-18,13,0.5186617,1928
client-thread-18,14,0.25471875,3925
client-thread-18,15,0.12413566,8055
client-thread-18,16,0.05386992,18563
