LogRounds, Check-Tput, Check-Latency
10,12.5,80
10,14.492754,69
10,14.705882,68
10,14.084507,71
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,13.513514,74
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,12.658228,79
10,14.925373,67
10,13.513514,74
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,13.888889,72
10,14.925373,67
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.925373,67
10,14.925373,67
10,14.925373,67
10,14.705882,68
10,13.888889,72
10,14.492754,69
10,14.492754,69
10,14.925373,67
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.925373,67
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.925373,67
10,14.925373,67
10,14.925373,67
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,13.888889,72
10,14.285714,70
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,12.048193,83
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.925373,67
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.084507,71
10,14.705882,68
10,14.705882,68
10,13.513514,74
10,13.888889,72
10,14.705882,68
10,14.705882,68
10,14.925373,67
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.084507,71
10,14.492754,69
10,13.69863,73
10,13.888889,72
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.285714,70
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,13.513514,74
10,14.084507,71
