Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-8,8,1.858736,538
client-thread-8,9,0.7680492,1302
client-thread-8,10,0.45085663,2218
client-thread-8,11,0.2328831,4294
client-thread-8,12,0.12058362,8293
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-2,8,4.2918453,233
client-thread-2,9,0.9009009,1110
client-thread-2,10,0.42480883,2354
client-thread-2,11,0.23769908,4207
client-thread-2,12,0.1276813,7832
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-5,8,1.6694491,599
client-thread-5,9,0.81900084,1221
client-thread-5,10,0.37119526,2694
client-thread-5,11,0.1935359,5167
client-thread-5,12,0.094295144,10605
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-10,8,2.0703933,483
client-thread-10,9,0.68540096,1459
client-thread-10,10,0.39277297,2546
client-thread-10,11,0.19379845,5160
client-thread-10,12,0.09917683,10083
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-4,8,2.9585798,338
client-thread-4,9,0.9242144,1082
client-thread-4,10,0.3620565,2762
client-thread-4,11,0.20292208,4928
client-thread-4,12,0.11970314,8354
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-15,8,2.9761906,336
client-thread-15,9,0.78864354,1268
client-thread-15,10,0.36062026,2773
client-thread-15,11,0.15064779,6638
client-thread-15,12,0.113934144,8777
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-12,8,0.99304867,1007
client-thread-12,9,0.5861665,1706
client-thread-12,10,0.31756112,3149
client-thread-12,11,0.14992504,6670
client-thread-12,12,0.08136035,12291
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-6,8,0.99206346,1008
client-thread-6,9,0.6056935,1651
client-thread-6,10,0.3062787,3265
client-thread-6,11,0.16792612,5955
client-thread-6,12,0.09172629,10902
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-16,8,2.9761906,336
client-thread-16,9,0.7942812,1259
client-thread-16,10,0.43649063,2291
client-thread-16,11,0.21953897,4555
client-thread-16,12,0.105518624,9477
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-1,8,1.2048193,830
client-thread-1,9,0.5675369,1762
client-thread-1,10,0.23078698,4333
client-thread-1,11,0.16385384,6103
client-thread-1,12,0.06904647,14483
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-11,8,1.953125,512
client-thread-11,9,0.6887052,1452
client-thread-11,10,0.34270048,2918
client-thread-11,11,0.18132366,5515
client-thread-11,12,0.08566044,11674
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-14,8,1.2886598,776
client-thread-14,9,0.64020485,1562
client-thread-14,10,0.2578649,3878
client-thread-14,11,0.19033118,5254
client-thread-14,12,0.060146756,16626
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-9,8,1.3351135,749
client-thread-9,9,0.6863418,1457
client-thread-9,10,0.30525032,3276
client-thread-9,11,0.21786493,4590
client-thread-9,12,0.069056004,14481
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-7,8,0.82440233,1213
client-thread-7,9,0.45269352,2209
client-thread-7,10,0.2975305,3361
client-thread-7,11,0.1556178,6426
client-thread-7,12,0.07822278,12784
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-13,8,1.4880953,672
client-thread-13,9,0.56085247,1783
client-thread-13,10,0.31959093,3129
client-thread-13,11,0.15556939,6428
client-thread-13,12,0.05578178,17927
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-3,8,1.1695906,855
client-thread-3,9,0.49875313,2005
client-thread-3,10,0.28105676,3558
client-thread-3,11,0.12846865,7784
client-thread-3,12,0.067704804,14770
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-3,8,5.6179776,178
client-thread-3,9,5.524862,181
client-thread-3,10,4.2016807,238
client-thread-3,11,1.953125,512
client-thread-3,12,1.1454754,873
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-12,8,5.524862,181
client-thread-12,9,5.1813474,193
client-thread-12,10,4.132231,242
client-thread-12,11,1.7421603,574
client-thread-12,12,1.2626263,792
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-16,8,7.0422535,142
client-thread-16,9,7.0422535,142
client-thread-16,10,4.032258,248
client-thread-16,11,1.8867924,530
client-thread-16,12,1.2437811,804
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-7,8,4.2735043,234
client-thread-7,9,5.1282053,195
client-thread-7,10,3.9840639,251
client-thread-7,11,2.2522523,444
client-thread-7,12,0.98039216,1020
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-10,8,3.816794,262
client-thread-10,9,5.0251255,199
client-thread-10,10,3.9215686,255
client-thread-10,11,2.020202,495
client-thread-10,12,0.9541985,1048
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-15,8,7.29927,137
client-thread-15,9,7.4074073,135
client-thread-15,10,4.784689,209
client-thread-15,11,2.1231422,471
client-thread-15,12,0.997009,1003
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-9,8,4.048583,247
client-thread-9,9,4.6728973,214
client-thread-9,10,3.6764705,272
client-thread-9,11,1.8450185,542
client-thread-9,12,0.9416196,1062
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-1,8,4.4052863,227
client-thread-1,9,4.032258,248
client-thread-1,10,3.4722223,288
client-thread-1,11,1.6528926,605
client-thread-1,12,0.9699321,1031
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-13,8,6.756757,148
client-thread-13,9,5.4945054,182
client-thread-13,10,3.3670034,297
client-thread-13,11,1.510574,662
client-thread-13,12,0.8598452,1163
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-14,8,7.352941,136
client-thread-14,9,4.366812,229
client-thread-14,10,3.4129694,293
client-thread-14,11,1.5151515,660
client-thread-14,12,0.80906147,1236
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-2,8,7.246377,138
client-thread-2,9,4.830918,207
client-thread-2,10,3.6101084,277
client-thread-2,11,1.6666666,600
client-thread-2,12,0.7818608,1279
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-6,8,5.0,200
client-thread-6,9,4.1841006,239
client-thread-6,10,2.8248587,354
client-thread-6,11,1.5772871,634
client-thread-6,12,0.7949126,1258
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-5,8,5.882353,170
client-thread-5,9,4.4052863,227
client-thread-5,10,3.0864198,324
client-thread-5,11,1.55521,643
client-thread-5,12,0.8130081,1230
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-11,8,4.6948357,213
client-thread-11,9,4.3103447,232
client-thread-11,10,3.021148,331
client-thread-11,11,1.3386881,747
client-thread-11,12,0.74404764,1344
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-4,8,5.1813474,193
client-thread-4,9,4.484305,223
client-thread-4,10,2.7855153,359
client-thread-4,11,1.3531799,739
client-thread-4,12,0.698324,1432
Thread, LogRounds, Hash-Tput, Hash-Latency
client-thread-8,8,5.5555553,180
client-thread-8,9,4.385965,228
client-thread-8,10,2.5839794,387
client-thread-8,11,1.3297873,752
client-thread-8,12,0.6648936,1504
